DATA,TOTAL,PRODUCAO M.O.,PRODUCAO INTERNA,CORTE,CORTE VOIL,BAINHA CONTINUA,BARRADO,EMENDA,OVERLOQUE,PALETEIRA,ACABAMENTO,FURO,ILHOS,DOBRA,EMBALAGEM,MÊS
02/01/2024,4381.09,300.62,4080.47,278.63,338.38,186.79,760.49,0.0,9.59,451.09,358.69,342.32,511.05,689.02,154.42,JANEIRO
03/01/2024,5628.610000000001,791.77,4836.84,94.67,800.14,190.16,1126.48,0.0,29.48,511.05,465.63,280.48,502.37,684.31,152.07,JANEIRO
04/01/2024,5856.26,617.93,5238.33,388.23,733.45,211.74,739.92,0.0,48.37,565.93,529.73,452.4,549.63,833.2,185.73,JANEIRO
05/01/2024,4984.4800000000005,370.76,4613.72,223.03,274.7,136.77,1122.09,0.0,17.18,462.18,417.03,424.81,428.49,904.76,202.68,JANEIRO
08/01/2024,5111.28,411.95,4699.33,284.66,690.94,177.14,602.39,0.0,0.35,426.78,510.93,455.21,675.24,716.09,159.6,JANEIRO
09/01/2024,4931.3,436.67,4494.63,302.37,487.37,233.47,729.15,0.0,22.45,468.89,536.31,314.05,687.19,583.67,129.71,JANEIRO
10/01/2024,4653.33,205.15,4448.18,274.99,647.56,226.88,669.77,0.0,0.0,413.72,426.78,122.56,568.96,897.34,199.62,JANEIRO
11/01/2024,4805.87,99.36,4706.51,216.45,577.99,220.16,656.18,0.0,0.0,558.9,539.12,470.84,543.39,753.99,169.49,JANEIRO
12/01/2024,4596.49,177.96,4418.53,168.45,516.79,139.24,949.37,0.0,0.0,512.47,385.78,218.94,532.45,808.13,186.91,JANEIRO
13/01/2024,325.21000000000004,134.53,190.68,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.54,33.9,JANEIRO
15/01/2024,5437.59,213.21,5224.38,384.44,345.41,143.18,784.18,0.0,35.02,677.89,741.8,365.73,606.1,933.24,207.39,JANEIRO
16/01/2024,5093.08,274.52,4818.56,250.82,501.79,130.9,770.82,0.0,0.0,636.82,576.97,478.54,733.92,603.8,134.18,JANEIRO
17/01/2024,5448.45,109.25,5339.2,368.68,563.69,267.05,580.38,0.0,84.18,677.65,576.62,468.08,612.13,932.18,208.56,JANEIRO
18/01/2024,4648.259999999999,265.15,4383.11,327.3,623.55,148.57,603.54,0.0,85.74,528.62,540.41,227.64,455.12,688.9,153.72,JANEIRO
19/01/2024,4544.29,197.74,4346.55,244.36,589.78,158.01,644.88,0.0,55.91,498.71,457.51,299.06,565.84,681.13,151.36,JANEIRO
22/01/2024,6101.49,306.02,5795.47,556.07,576.42,88.94,961.08,0.0,1.24,834.73,570.79,535.41,794.27,717.15,159.37,JANEIRO
23/01/2024,6614.740000000001,200.68,6414.06,445.94,326.65,89.6,1167.32,0.0,26.78,334.86,710.4,711.6,1132.72,1201.25,266.94,JANEIRO
24/01/2024,5822.43,260.09,5562.34,188.92,205.1,57.06,1510.44,0.0,12.71,621.16,619.87,507.35,829.87,826.25,183.61,JANEIRO
25/01/2024,5221.81,499.05,4722.76,4.71,212.1,386.7,794.65,0.0,11.65,435.55,549.82,522.45,815.16,799.77,190.2,JANEIRO
26/01/2024,4763.65,0.0,4763.65,297.83,522.77,280.77,716.73,0.0,0.0,677.18,403.9,465.75,750.07,530.71,117.94,JANEIRO
27/01/2024,377.82000000000005,183.61,194.21,194.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JANEIRO
29/01/2024,5036.8,260.35,4776.45,217.14,395.47,109.98,985.59,0.0,0.0,543.89,631.24,455.44,631.11,659.94,146.65,JANEIRO
30/01/2024,5733.94,378.99,5354.95,199.69,720.38,0.0,1031.05,0.0,16.24,460.44,321.12,464.8,838.76,1065.66,236.81,JANEIRO
31/01/2024,5732.31,494.34,5237.97,150.02,538.07,6.59,1307.32,29.43,0.0,489.01,542.19,399.9,864.21,745.51,165.72,JANEIRO
01/02/2024,4790.139999999999,324.44,4465.7,20.01,409.95,328.15,496.75,0.0,5.8,514.02,617.6,491.17,671.13,745.16,165.96,FEVEREIRO
02/02/2024,5448.25,158.9,5289.35,48.09,1090.03,216.04,891.87,29.43,0.0,491.49,579.85,387.11,385.03,954.78,215.63,FEVEREIRO
05/02/2024,5085.63,0.0,5085.63,210.59,127.42,277.48,884.46,10.3,0.0,594.35,589.23,590.46,691.43,907.47,202.44,FEVEREIRO
06/02/2024,5044.25,333.68,4710.57,42.02,376.76,117.13,800.24,0.0,0.0,449.08,579.61,386.17,975.59,805.07,178.9,FEVEREIRO
07/02/2024,4536.3,0.0,4536.3,390.18,577.84,195.91,745.45,0.0,0.0,503.99,544.36,294.58,487.63,650.41,145.95,FEVEREIRO
